date,main,supp,division,fourier,entropy,mahalanobis,bayesian,penalty,momentum,integral,avg_freq
2025-06-17,"8,21,25,26,29,31,47","18,24,43",3,0.72,0.88,0.45,0.64,0.33,0.59,0.78,0.67
2025-06-10,"1,15,21,32,33,38,45","3,25,39",5,0.56,0.77,0.66,0.44,0.28,0.48,0.71,0.6
